"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2024","82.69","82.27","83.36","82.00","10.27K","0.50%"
"01/16/2024","82.28","82.35","82.50","81.74","5.82K","-0.01%"
"01/12/2024","82.29","82.33","83.03","82.00","9.60K","-0.05%"
"01/11/2024","82.33","81.31","82.90","81.19","10.59K","1.23%"
"01/10/2024","81.33","81.80","82.12","81.09","9.54K","0.74%"
"01/09/2024","80.73","80.46","81.23","80.30","15.33K","0.39%"
"01/08/2024","80.42","80.01","80.81","79.60","16.72K","0.29%"
"01/05/2024","80.19","80.12","80.57","79.59","15.71K","0.09%"
"01/04/2024","80.12","80.81","81.25","80.08","15.90K","-1.00%"
"01/03/2024","80.93","80.25","81.45","80.11","18.95K","1.24%"
"01/02/2024","79.94","80.87","81.75","79.69","18.90K","-1.31%"
"12/29/2023","81.00","80.81","81.75","80.44","14.27K","0.06%"
"12/28/2023","80.95","80.48","81.30","80.19","13.25K","0.52%"
"12/27/2023","80.53","80.00","80.76","79.51","13.60K","0.60%"
"12/26/2023","80.05","79.76","80.50","79.62","6.76K","0.36%"
"12/22/2023","79.76","79.26","80.89","79.25","15.23K","0.80%"
"12/21/2023","79.13","79.50","79.85","78.31","17.45K","-0.10%"
"12/20/2023","79.21","79.46","80.59","79.01","14.51K","-0.31%"
"12/19/2023","79.46","79.18","79.87","78.86","14.60K","0.46%"
"12/18/2023","79.10","80.00","80.12","79.05","17.26K","-1.04%"
"12/15/2023","79.93","80.81","81.50","79.83","15.22K","-1.09%"
"12/14/2023","80.81","81.18","82.28","80.70","15.89K","-0.46%"
"12/13/2023","81.18","81.05","81.71","80.78","12.00K","0.16%"
"12/12/2023","81.05","81.98","82.36","80.60","15.83K","-1.16%"
"12/11/2023","82.00","81.46","82.50","81.39","16.66K","0.69%"
"12/08/2023","81.44","82.73","83.13","81.12","23.49K","-1.39%"
"12/07/2023","82.59","79.61","82.75","79.52","35.32K","4.88%"
"12/06/2023","78.75","79.69","80.78","79.37","15.44K","0.09%"
"12/05/2023","78.68","78.79","79.95","78.65","12.91K","1.29%"
"12/04/2023","77.68","78.42","78.42","78.25","0.04K","-2.19%"
"12/01/2023","79.42","80.02","80.14","79.26","15.16K","-0.80%"
"11/30/2023","80.06","79.58","80.48","79.30","13.01K","0.59%"
"11/29/2023","79.59","79.59","80.40","79.30","10.14K","-0.01%"
"11/28/2023","79.60","79.27","80.17","78.86","15.09K","0.43%"
"11/27/2023","79.26","80.80","80.99","79.01","19.65K","-2.14%"
"11/24/2023","80.99","80.70","81.73","80.19","13.41K","0.11%"
"11/22/2023","80.90","80.91","81.11","80.29","13.89K","0.26%"
"11/21/2023","80.69","81.00","81.00","80.03","19.78K","-0.69%"
"11/20/2023","81.25","81.21","81.80","79.70","22.20K","-0.32%"
"11/17/2023","81.51","80.87","81.87","80.43","13.40K","0.78%"
"11/16/2023","80.88","80.95","81.77","80.25","19.49K","-0.16%"
"11/15/2023","81.01","81.15","81.50","80.52","21.94K","-0.17%"
"11/14/2023","81.15","79.49","81.92","79.31","36.00K","2.11%"
"11/13/2023","79.47","79.59","80.03","79.00","28.09K","2.78%"
"11/10/2023","77.32","76.28","77.75","75.53","27.66K","1.05%"
"11/09/2023","76.52","75.00","77.29","74.90","35.68K","2.18%"
"11/08/2023","74.89","76.50","76.92","74.77","36.59K","-2.08%"
"11/07/2023","76.48","77.95","78.16","76.25","36.28K","-1.95%"
"11/06/2023","78.00","79.42","79.97","77.86","29.93K","-2.03%"
"11/03/2023","79.62","79.80","80.50","79.20","16.75K","-0.23%"
"11/02/2023","79.80","79.55","80.82","79.48","24.08K","0.45%"
