"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2023","110.18","110.16","110.68","109.58","3.11M","0.33%"
"10/03/2023","109.82","111.18","111.53","109.66","7.81M","-1.50%"
"10/02/2023","111.49","112.64","113.14","111.23","4.05M","-1.47%"
"09/29/2023","113.15","113.37","113.39","112.30","4.24M","0.86%"
"09/28/2023","112.18","110.57","112.41","110.57","3.95M","1.34%"
"09/27/2023","110.70","111.50","111.82","109.89","4.85M","0.05%"
"09/26/2023","110.65","111.90","111.90","110.65","5.57M","-1.71%"
"09/25/2023","112.57","112.11","112.57","111.93","2.74M","-0.04%"
"09/22/2023","112.61","113.33","113.42","112.30","3.99M","0.01%"
"09/21/2023","112.60","113.45","113.45","112.48","5.93M","-2.11%"
"09/20/2023","115.03","114.60","116.00","114.58","5.09M","0.82%"
"09/19/2023","114.10","114.67","114.90","114.04","6.33M","-0.48%"
"09/18/2023","114.65","115.27","115.77","114.44","10.05M","-0.23%"
"09/15/2023","114.92","115.88","116.03","114.92","7.20M","-0.58%"
"09/14/2023","115.59","115.20","116.04","115.05","5.31M","0.99%"
"09/13/2023","114.46","114.21","115.68","113.99","6.25M","0.21%"
"09/12/2023","114.22","113.50","114.50","113.39","3.71M","0.65%"
"09/11/2023","113.48","112.64","113.57","112.10","4.60M","1.61%"
"09/09/2023","111.68","111.68","111.68","111.68","","0.02%"
"09/08/2023","111.66","111.64","112.02","111.27","3.51M","-0.53%"
"09/06/2023","112.25","113.75","114.31","112.25","4.41M","-1.21%"
"09/05/2023","113.62","113.49","114.30","112.97","3.80M","-0.46%"
"09/04/2023","114.14","114.07","114.85","113.82","3.13M","0.26%"
"09/02/2023","113.84","113.84","113.84","113.84","","-0.18%"
"09/01/2023","114.05","112.82","114.30","112.81","5.49M","1.55%"
"08/31/2023","112.31","113.68","113.68","112.28","4.07M","-1.40%"
"08/30/2023","113.90","114.83","115.13","113.81","5.58M","-0.63%"
"08/29/2023","114.62","114.22","114.85","113.75","5.27M","0.99%"
"08/28/2023","113.50","112.53","113.66","112.21","4.39M","1.20%"
"08/25/2023","112.15","113.24","116.10","111.83","5.96M","-1.02%"
"08/24/2023","113.30","114.14","114.49","113.18","5.45M","-0.87%"
"08/23/2023","114.30","112.70","114.36","112.70","4.37M","1.68%"
"08/22/2023","112.41","111.74","112.71","111.59","9.53M","1.46%"
"08/21/2023","110.79","111.74","111.90","110.58","6.00M","-0.81%"
"08/18/2023","111.70","111.12","112.17","110.99","8.94M","0.31%"
"08/17/2023","111.36","112.91","113.04","111.34","9.33M","-0.46%"
"08/16/2023","111.87","112.93","113.73","111.87","8.03M","-0.44%"
"08/15/2023","112.37","113.84","114.05","112.37","5.73M","-0.83%"
"08/14/2023","113.31","113.98","114.12","112.94","4.73M","-0.82%"
"08/11/2023","114.25","114.73","115.36","113.75","8.70M","-0.23%"
"08/10/2023","114.51","115.27","115.70","114.37","5.28M","-0.17%"
"08/09/2023","114.70","115.03","115.08","114.19","5.98M","-0.49%"
"08/08/2023","115.27","114.10","115.85","113.95","4.88M","-0.29%"
"08/07/2023","115.61","115.84","116.35","115.14","6.53M","-0.04%"
"08/04/2023","115.66","115.79","117.65","115.46","6.04M","-0.90%"
"08/03/2023","116.71","117.83","118.80","116.55","7.53M","-0.26%"
"08/02/2023","117.01","116.92","117.47","115.97","6.54M","-0.43%"
"08/01/2023","117.52","117.20","117.79","116.35","3.44M","-0.36%"
"07/31/2023","117.95","117.23","118.34","117.15","3.89M","1.23%"
"07/28/2023","116.52","116.51","116.93","115.95","2.94M","0.41%"
"07/27/2023","116.04","118.66","118.80","116.00","6.49M","-2.27%"
"07/26/2023","118.74","117.85","118.89","117.55","7.27M","0.64%"
"07/25/2023","117.98","118.97","119.17","117.98","5.68M","0.35%"
"07/24/2023","117.57","116.47","117.96","116.27","6.79M","1.01%"
"07/21/2023","116.40","114.45","116.65","114.40","8.65M","1.80%"
"07/20/2023","114.34","114.35","114.58","113.67","7.92M","0.52%"
"07/19/2023","113.75","113.46","114.33","112.93","5.64M","-0.18%"
